,date,updated_at,price
659,25 Nov 2020,Closing,872.5
660,24 Nov 2020,Closing,867.5
661,24 Nov 2020,Midday,877.5
662,23 Nov 2020,Closing,880.0
663,23 Nov 2020,Midday,865.0
664,20 Nov 2020,Closing,890.0
665,20 Nov 2020,Midday,910.0
666,19 Nov 2020,Closing,912.5
667,19 Nov 2020,Midday,917.5
668,18 Nov 2020,Closing,905.0
669,18 Nov 2020,Midday,895.0
670,17 Nov 2020,Closing,890.0
671,17 Nov 2020,Midday,882.5
672,16 Nov 2020,Closing,885.0
673,16 Nov 2020,Midday,890.0
674,13 Nov 2020,Closing,890.0
675,13 Nov 2020,Midday,885.0
676,12 Nov 2020,Closing,885.0
677,12 Nov 2020,Midday,880.0
678,11 Nov 2020,Closing,880.0
679,11 Nov 2020,Midday,880.0
680,10 Nov 2020,Closing,875.0
681,10 Nov 2020,Midday,875.0
682,3 Nov 2020,Closing,842.5
683,2 Nov 2020,Closing,820.0
684,2 Nov 2020,Midday,820.0
685,30 Oct 2020,Closing,820.0
686,30 Oct 2020,Midday,830.0
687,28 Oct 2020,Closing,825.0
688,28 Oct 2020,Midday,810.0
689,27 Oct 2020,Closing,810.0
690,27 Oct 2020,Midday,807.5
691,26 Oct 2020,Midday,792.5
692,23 Oct 2020,Closing,777.5
693,23 Oct 2020,Midday,777.5
694,22 Oct 2020,Closing,772.5
695,22 Oct 2020,Midday,770.0
696,21 Oct 2020,Closing,770.0
697,21 Oct 2020,Midday,770.0
698,20 Oct 2020,Closing,757.5
699,20 Oct 2020,Midday,750.0
700,19 Oct 2020,Closing,750.0
701,19 Oct 2020,Midday,755.0
702,16 Oct 2020,Closing,765.0
703,16 Oct 2020,Midday,767.5
704,15 Oct 2020,Midday,780.0
705,14 Oct 2020,Closing,782.5
706,14 Oct 2020,Midday,785.0
707,13 Oct 2020,Closing,785.0
708,13 Oct 2020,Midday,780.0
709,12 Oct 2020,Closing,790.0
710,9 Oct 2020,Closing,767.5
711,9 Oct 2020,Midday,767.5
712,8 Oct 2020,Closing,760.0
713,8 Oct 2020,Midday,757.5
714,7 Oct 2020,Closing,757.5
715,7 Oct 2020,Midday,750.0
716,6 Oct 2020,Closing,745.0
717,6 Oct 2020,Midday,740.0
718,5 Oct 2020,Closing,730.0
719,5 Oct 2020,Midday,727.5
720,2 Oct 2020,Closing,727.5
721,2 Oct 2020,Midday,730.0
722,1 Oct 2020,Closing,745.0
723,1 Oct 2020,Midday,740.0
724,30 Sep 2020,Midday,730.0
725,30 Sep 2020,Midday,732.5
726,29 Sep 2020,Closing,740.0
727,29 Sep 2020,Midday,747.5
728,28 Sep 2020,Closing,740.0
729,28 Sep 2020,Closing,745.0
730,25 Sep 2020,Closing,740.0
731,25 Sep 2020,Midday,730.0
732,24 Sep 2020,Closing,727.5
733,24 Sep 2020,Midday,730.0
734,23 Sep 2020,Closing,745.0
735,23 Sep 2020,Midday,760.0
736,22 Sep 2020,Closing,765.0
737,22 Sep 2020,Midday,767.5
738,21 Sep 2020,Closing,787.5
739,21 Sep 2020,Midday,797.5
740,18 Sep 2020,Closing,802.5
741,18 Sep 2020,Midday,795.0
742,17 Sep 2020,Closing,782.5
743,11 Sep 2020,Midday,735.0
744,10 Sep 2020,Closing,730.0
745,4 Sep 2020,Closing,740.0
746,4 Sep 2020,Midday,745.0
747,3 Sep 2020,Closing,755.0
748,3 Sep 2020,Midday,750.0
749,2 Sep 2020,Closing,732.5
