date,updated_at,price
25 Feb 2021,Closing,1042.5
25 Feb 2021,Midday,1040
24 Feb 2021,Closing,1020
24 Feb 2021,Midday,1032.5
23 Feb 2021,Closing,1030
23 Feb 2021,Midday,1027.5
22 Feb 2021,Closing,1020
22 Feb 2021,Midday,1030
19 Feb 2021,Closing,1015
19 Feb 2021,Midday,1025
18 Feb 2021,Closing,1020
18 Feb 2021,Midday,1042.5
17 Feb 2021,Closing,1055
17 Feb 2021,Midday,1055
16 Feb 2021,Closing,1050
16 Feb 2021,Midday,1060
15 Feb 2021,Closing,1055
15 Feb 2021,Midday,1035
11 Feb 2021,Midday,1015
10 Feb 2021,Closing,1035
10 Feb 2021,Closing,1035
10 Feb 2021,Midday,1025
9 Feb 2021,Closing,1025
9 Feb 2021,Midday,1025
8 Feb 2021,Closing,1020
8 Feb 2021,Midday,1010
5 Feb 2021,Closing,1005
5 Feb 2021,Midday,1005
4 Feb 2021,Closing,1000
4 Feb 2021,Midday,980
3 Feb 2021,Closing,965
3 Feb 2021,Midday,990
2 Feb 2021,Closing,1000
2 Feb 2021,Midday,1020
1st Feb 2021,DAY,1020
28 Jan 2021,Closing,1025
28 Jan 2021,Midday,1000
27 Jan 2021,Closing,970
27 Jan 2021,Midday,960
26 Jan 2021,Closing,927.5
26 Jan 2021,Midday,940
25 Jan 2021,Closing,940
25 Jan 2021,Midday,940
22 Jan 2021,Closing,950
22 Jan 2021,Midday,940
21 Jan 2021,Closing,945
21 Jan 2021,Midday,945
20 Jan 2021,Closing,935
20 Jan 2021,Midday,930
19 Jan 2021,Closing,955
19 Jan 2021,Midday,950
18 Jan 2021,Closing,980
18 Jan 2021,Midday,975
15 Jan 2021,Closing,975
15 Jan 2021,Midday,995
14 Jan 2021,Closing,1000
14 Jan 2021,Midday,1022.5
13 Jan 2021,Closing,1030
13 Jan 2021,Midday,1032.5
12 Jan 2021,Closing, 
12 Jan 2021,Midday,1017.5
11 Jan 2021,Closing,1032.5
11 Jan 2021,Closing,1032.5
11 Jan 2021,Midday,1035
8 Jan 2021,Closing,1040
8 Jan 2021,Midday,1037.5
7 Jan 2021,Closing,1040
7 Jan 2021,Midday,1045
6 Jan 2021,Closing,1050
6 Jan 2021,Midday,1030
5 Jan 2021,Closing,1030
5 Jan 2021,Midday,1010
4 Jan 2021,Closing,1032.5
4 Jan 2021,Midday,1025
31 Dec 2020,Closing,995
31 Dec 2020,Midday,990
30 Dec 2020,Closing,992.5
30 Dec 2020,Midday,987.5
29 Dec 2020,Closing,975
29 Dec 2020,Midday,970
28 Dec 2020,Closing,982.5
28 Dec 2020,Midday,987.5
24 Dec 2020,Closing,990
24 Dec 2020,Midday,980
23 Dec 2020,Closing,965
23 Dec 2020,Midday,965
22 Dec 2020,Closing,930
22 Dec 2020,Midday,930
21 Dec 2020,Closing,920
21 Dec 2020,Midday,925
18 Dec 2020,Closing,950
18 Dec 2020,Midday,950
17 Dec 2020,Closing,950
17 Dec 2020,Midday,950
16 Dec 2020,Closing,950
16 Dec 2020,Midday,952.5
15 Dec 2020,Closing,935
15 Dec 2020,Midday,937.5
14 Dec 2020,Closing,937.5
14 Dec 2020,Midday,940
11 Dec 2020,Closing,932.5
11 Dec 2020,Midday,920
10 Dec 2020,Closing,925
10 Dec 2020,Closing,925
10 Dec 2020,Midday,917.5
9 Dec 2020,Closing,915
9 Dec 2020,Midday,915
8 Dec 2020,Closing,920
8 Dec 2020,Midday,920
7 Dec 2020,Closing,920
7 Dec 2020,MIdday,932.5
4 Dec 2020,Closing,935
4 Dec 2020,Midday,900
3 Dec 2020,Closing,885
3 Dec 2020,Midday,880
2 Dec 2020,Closing,877.5
2 Dec 2020,Midday,885
1 Dec 2020,Closing,885
1 Dec 2020,Midday,870
30 Nov 2020,Closing,870
30 Nov 2020,Midday,880
27 Nov 2020,Closing,885
27 Nov 2020,Midday,862.5
26 Nov 2020,Closing,862.5
26 . Nov 2020,Midday,870
25 Nov 2020,Closing,872.5
24 Nov 2020,Closing,867.5
24 Nov 2020,Midday,877.5
23 Nov 2020,Closing,880
23 Nov 2020,Midday,865
20 Nov 2020,Closing,890
20 Nov 2020,Midday,910
19 Nov 2020,Closing,912.5
19 Nov 2020,Midday,917.5
18 Nov 2020,Closing,905
18 Nov 2020,Midday,895
17 Nov 2020,Closing,890
17 Nov 2020,Midday,882.5
16 Nov 2020,Closing,885
16 Nov 2020,Midday,890
13 Nov 2020,Closing,890
13 Nov 2020,Midday,885
12 Nov 2020,Closing,885
12 Nov 2020,Midday,880
11 Nov 2020,Closing,880
11 Nov 2020,Midday,880
10 Nov 2020,Closing,875
10 Nov 2020,Midday,875
10 Nov 2020,Midday,875
9 Nov 2020,Closing,877.5
9 Nov 2020,Midday,875
6 Nov 2020,Closing,855
6 Nov 2020,Midday,870
5 Nov 2020,Closing,867.5
5 Nov 2020,Midday,860
4 Nov 2020,Closing,845
4 Nov 2020,Midday,850
3 Nov 2020,Closing,842.5
2 Nov 2020,Closing,820
2 Nov 2020,Midday,820
30 Oct 2020,Closing,820
30 Oct 2020,Midday,830
28 Oct 2020,Closing,825
28 Oct 2020,Midday,810
27 Oct 2020,Closing,810
27 Oct 2020,Midday,807.5
26 Oct 2020,Midday,792.5
23 Oct 2020,Closing,777.5
23 Oct 2020,Midday,777.5
22 Oct 2020,Closing,772.5
22 Oct 2020,Midday,770
21 Oct 2020,Closing,770
21 Oct 2020,Midday,770
20 Oct 2020,Closing,757.5
20 Oct 2020,Midday,750
19 Oct 2020,Closing,750
19 Oct 2020,Midday,755
16 Oct 2020,Closing,765
16 Oct 2020,Midday,767.5
15 Oct 2020,Midday,780
14 Oct 2020,Closing,782.5
14 Oct 2020,Midday,785
13 Oct 2020,Closing,785
13 Oct 2020,Midday,780
12 Oct 2020,Closing,790
12 Oct 2020,Closing,790
12 Oct 2020,Midday,790
9 Oct 2020,Closing,767.5
9 Oct 2020,Midday,767.5
8 Oct 2020,Closing,760
8 Oct 2020,Midday,757.5
7 Oct 2020,Closing,757.5
7 Oct 2020,Midday,750
6 Oct 2020,Closing,745
6 Oct 2020,Midday,740
5 Oct 2020,Closing,730
5 Oct 2020,Midday,727.5
2 Oct 2020,Closing,727.5
2 Oct 2020,Midday,730
1 Oct 2020,Closing,745
1 Oct 2020,Midday,740
30 Sep 2020,Midday,730
30 Sep 2020,Midday,732.5
29 Sep 2020,Closing,740
29 Sep 2020,Midday,747.5
28 Sep 2020,Closing,740
28 Sep 2020,Closing,745
25 Sep 2020,Closing,740
25 Sep 2020,Midday,730
24 Sep 2020,Closing,727.5
24 Sep 2020,Midday,730
23 Sep 2020,Closing,745
23 Sep 2020,Midday,760
22 Sep 2020,Closing,765
22 Sep 2020,Midday,767.5
21 Sep 2020,Closing,787.5
21 Sep 2020,Midday,797.5
18 Sep 2020,Closing,802.5
18 Sep 2020,Midday,795
17 Sep 2020,Closing,782.5
17 Sep 2020,Closing,782.5
17 Sep 2020,Midday,780
15 Sep 2020,Closing,780
15 Sep 2020,Midday,755
14 Sep 2020,Closing,752.5
14 Sep 2020,Midday,747.5
11 Sep 2020,Closing,737.5
11 Sep 2020,Midday,735
10 Sep 2020,Closing,730
10 Sep 2020,Closing,730
10 Sep 2020,Midday,737.5
9 Sep 2020,Closing,732.5
9 Sep 2020,Midday,735
8 Sep 2020,Closing,745
8 Sep 2020,Midday,740
7 Sep 2020,Closing,735
7 Sep 2020,Midday,742.5
4 Sep 2020,Closing,740
4 Sep 2020,Midday,745
3 Sep 2020,Closing,755
3 Sep 2020,Midday,750
2 Sep 2020,Closing,732.5
2 Sep 2020,Midday,727.5
2 Sep 2020,Midday,727.5
28 August 2020,Closing,720
28 August 2020,Midday,722.5
27 August 2020,Midday,705
27 August 2020,Closing,707.5
26 August 2020,Closing,697.5
26 August 2020,Midday,702.5
25 August 2020,Closing,697.5
25 August 2020,Midday,702.5
24 August 2020,Closing,702.5
